carType,color,condition,currency,drive,city,country,make,manufacture_year,mileage,mileage_unit,model,model_variant,price_on_request,type,zip,manufacture_month,fuel_consumption_unit
null,Blue,null,CHF,null,Zuzwil,CH,Maserati,2003,61400,kilometer,COUPÉ GT,Coupé GT,true,car,null,8,null
null,White,null,CHF,null,Zuzwil,CH,BMW,2000,49700,kilometer,330,i,true,car,null,9,null
null,White,null,CHF,null,Zuzwil,CH,Audi,1997,94700,kilometer,A8, 4.2 quattro,true,car,null,3,null
null,White,null,CHF,null,Zuzwil,CH,Porsche,2011,14000,kilometer,911, Turbo S Cabrio,true,car,null,7,null
null,White,null,CHF,null,Zuzwil,CH,McLaren,2012,23000,kilometer,12C,MP4- Coupé 3.8 V8,true,car,null,3,null
null,White,null,CHF,null,Zuzwil,CH,Ferrari,2007,22000,kilometer,599, GTB,true,car,null,4,null
null,White,null,CHF,null,Zuzwil,CH,Mercedes-Benz,2008,46000,kilometer,S 63 AMG, L,true,car,null,4,null
null,Blue,null,CHF,null,Zuzwil,CH,Audi,2002,81000,kilometer,RS6, Avant quattro,true,car,null,10,null
null,White,null,CHF,null,Zuzwil,CH,Mercedes-Benz,2006,62300,kilometer,S 500, 4Matic,true,car,null,11,null
null,White,null,CHF,null,Zuzwil,CH,BMW,1998,85400,kilometer,740,i,true,car,null,4,null
null,White,null,CHF,null,Zuzwil,CH,De Tomaso,1974,68100,kilometer,PANTERA,,true,car,null,9,null
null,White,null,CHF,null,Zuzwil,CH,Porsche,2009,30300,kilometer,PANAMERA,Panamera Turbo 4.8,true,car,null,9,null
null,White,null,CHF,null,Zuzwil,CH,Alfa Romeo,1970,106000,kilometer,SPIDER, 1300 Junior,true,car,null,3,null
null,Blue,null,CHF,null,Zuzwil,CH,VW,2003,37800,kilometer,PHAETON,Phaeton 6.0 W12 4Motion,true,car,null,1,null
null,White,null,CHF,null,Zuzwil,CH,Bentley,2000,85700,kilometer,ARNAGE, Red Label,true,car,null,10,null
null,White,null,CHF,null,Zuzwil,CH,Mercedes-Benz,2003,12200,kilometer,CL 600,,true,car,null,9,null
null,White,null,CHF,null,Zuzwil,CH,Renault,1988,98600,kilometer,ALPINE,Alpine V6 Turbo,true,car,null,4,null
null,White,null,CHF,null,Zuzwil,CH,Mercedes-Benz,2013,10400,kilometer,CLS 500,,true,car,null,5,null
null,White,null,CHF,null,Zuzwil,CH,Porsche,2001,30100,kilometer,911, Turbo,true,car,null,10,null
null,White,null,CHF,null,Zuzwil,CH,Ferrari,2003,39000,kilometer,575M,,true,car,null,4,null
null,White,null,CHF,null,Zuzwil,CH,Mercedes-Benz,1991,197800,kilometer,SL 500,,true,car,null,1,null
null,White,null,CHF,null,Zuzwil,CH,Peugeot,1984,58950,kilometer,205, Turbo 16V,true,car,null,11,null
null,White,null,CHF,null,Zuzwil,CH,Jaguar,1996,25000,kilometer,XJ 220,,true,car,null,5,null
null,White,null,CHF,null,Zuzwil,CH,Porsche,2012,1000,kilometer,CAYENNE,Cayenne S,true,car,null,6,null
null,White,null,CHF,null,Zuzwil,CH,Rolls-Royce,2004,56000,kilometer,PHANTOM,Phantom 6.7 V12,true,car,null,1,null
null,White,null,CHF,null,Zuzwil,CH,Bentley,2006,43000,kilometer,CONTINENTAL,Continental FlyingSpur6.0,true,car,null,1,null
null,White,null,CHF,null,Zuzwil,CH,Renault,2004,145000,kilometer,ESPACE,Espace 2.0 T Privilège,true,car,null,3,null
null,White,null,CHF,null,Zuzwil,CH,Jaguar,1999,103000,kilometer,XK,R S/C,true,car,null,11,null
null,White,null,CHF,null,Safenwil,CH,MINI,1976,44300,kilometer,MINI,1000,true,car,null,7,null
null,Blue,null,CHF,null,Zuzwil,CH,Mercedes-Benz,2002,20800,kilometer,ML 500,,true,car,null,1,null
null,White,null,CHF,null,Zuzwil,CH,Mercedes-Benz,1997,70600,kilometer,SL 320,,true,car,null,2,null
null,White,null,CHF,null,Zuzwil,CH,AGM,2004,1,kilometer,null,WLR,true,car,null,1,null
null,White,null,CHF,null,Zuzwil,CH,VW,2005,48300,kilometer,PHAETON,Phaeton 3.0 TDi V6 4M,true,car,null,6,null
null,White,null,CHF,null,Zuzwil,CH,Mercedes-Benz,2007,102000,kilometer,S 65 AMG, L,true,car,null,3,null
null,White,null,CHF,null,Zuzwil,CH,Mercedes-Benz,2005,99000,kilometer,A 150, Classic,true,car,null,10,null
null,White,null,CHF,null,Zuzwil,CH,Audi,2004,55000,kilometer,RS6, Avant quattro,true,car,null,3,null
null,Blue,null,CHF,null,Zuzwil,CH,Audi,2008,79700,kilometer,RS6, Avant 5.0 V10 quattro,true,car,null,10,null
null,Blue,null,CHF,null,Zuzwil,CH,Mercedes-Benz,2008,32500,kilometer,null,CLK DTM AMG,true,car,null,2,null
null,Other,null,CHF,null,Zuzwil,CH,BMW,2002,26500,kilometer,X5, 4.6is,true,car,null,11,null
null,Blue,null,CHF,null,Zuzwil,CH,Mercedes-Benz,2004,14500,kilometer,SL 600,,true,car,null,4,null
null,Blue,null,CHF,null,Zuzwil,CH,Bentley,1995,39100,kilometer,BROOKLANDS,Brooklands,true,car,null,3,null
null,Blue,null,CHF,null,Zuzwil,CH,Audi,2008,114200,kilometer,RS6, Avant 5.0 V10 quattro,true,car,null,7,null
null,Blue,null,CHF,null,Zuzwil,CH,BMW,1998,26200,kilometer,728,i,true,car,null,5,null
null,Blue,null,CHF,null,Zuzwil,CH,Audi,2003,64500,kilometer,RS6, Avant quattro,true,car,null,5,null
null,Blue,null,CHF,null,Zuzwil,CH,Mercedes-Benz,2003,49900,kilometer,SL 600,,true,car,null,10,null
null,Blue,null,CHF,null,Zuzwil,CH,Mercedes-Benz,2011,31400,kilometer,CLS 63 AMG,,true,car,null,5,null
null,Other,null,CHF,null,Zuzwil,CH,Audi,1996,120200,kilometer,Cabriolet, 2.8 E,true,car,null,7,null
null,Blue,null,CHF,null,Zuzwil,CH,Renault,1977,39267,kilometer,Alpine A110, A5 Motor,true,car,null,5,null
null,Blue,null,CHF,null,Zuzwil,CH,Mercedes-Benz,1990,162000,kilometer,190, E 2.5-16 ABS,true,car,null,10,null
null,Blue,null,CHF,null,Zuzwil,CH,BMW,1974,7990,kilometer,2002, Turbo,true,car,null,1,null
null,Blue,null,CHF,null,Zuzwil,CH,Lamborghini,2009,7300,kilometer,GALLARDO,Gallardo LP550-2 Cpé V.B.,true,car,null,9,null
null,Blue,null,CHF,null,Porrentruy,CH,Ferrari,2007,53500,kilometer,F430, Spider,true,car,null,6,null
null,Other,null,CHF,null,Zuzwil,CH,Land Rover,2007,99900,kilometer,RANGE ROVER,Range Rover 3.6 d HSE,true,car,null,2,null
null,Blue,null,CHF,null,Zuzwil,CH,Mercedes-Benz,2001,116100,kilometer,CL 500,,true,car,null,12,null
null,Blue,null,CHF,null,Zuzwil,CH,Maserati,2009,96000,kilometer,QUATTROPORTE,Quattroporte 4.7 S,true,car,null,2,null
null,Blue,null,CHF,null,Zuzwil,CH,BMW,2004,108500,kilometer,530,d Touring,true,car,null,11,null
null,Blue,null,CHF,null,Zuzwil,CH,BMW,2004,86200,kilometer,X3, 3.0i,true,car,null,10,null
null,Blue,null,CHF,null,Zuzwil,CH,Mercedes-Benz,1996,26800,kilometer,E 420, Elégance,true,car,null,6,null
null,Blue,null,CHF,null,Zuzwil,CH,Mercedes-Benz,1998,35000,kilometer,E 55 AMG, Avantgarde,true,car,null,10,null
null,Blue,null,CHF,null,Zuzwil,CH,Lotus,2002,36700,kilometer,ESPRIT,Esprit 3.5 V8 SE,true,car,null,7,null
null,Blue,null,CHF,null,Zuzwil,CH,Subaru,2006,161500,kilometer,IMPREZA,Impreza 2.5T WRX,true,car,null,4,null
null,Other,null,CHF,null,Zuzwil,CH,Land Rover,2012,63200,kilometer,RANGE ROVER,Range Rover 4.4TD Vogue,true,car,null,1,null
null,Blue,null,CHF,null,Zuzwil,CH,Mercedes-Benz,2006,48000,kilometer,S 500,,true,car,null,6,null
null,Blue,null,CHF,null,Zuzwil,CH,Renault,1976,59800,kilometer,ALPINE, A310 1600 VG,true,car,null,6,null
null,Blue,null,CHF,null,Zuzwil,CH,Ferrari,2005,8000,kilometer,F360, Modena Berlinetta,true,car,null,3,null
null,Blue,null,CHF,null,Zuzwil,CH,Mercedes-Benz,2000,75100,kilometer,CL 500,,true,car,null,9,null
null,Blue,null,CHF,null,Zuzwil,CH,Volvo,2001,27900,kilometer,C70, T5,true,car,null,2,null
null,Other,null,CHF,null,Zuzwil,CH,Mercedes-Benz,2012,12100,kilometer,C 63 AMG, BLACK SERIES (Coupé),true,car,null,8,null
null,Blue,null,CHF,null,Zuzwil,CH,Ferrari,1999,20700,kilometer,F360, Modena Berlinetta,true,car,null,8,null
null,Blue,null,CHF,null,Zuzwil,CH,Other,1984,150200,kilometer,7 SERIES, B7 Turbo Coupé,true,car,null,4,null
null,Blue,null,CHF,null,Zuzwil,CH,Mercedes-Benz,2008,2400,kilometer,SLR, McLaren Roadster,true,car,null,6,null
null,Blue,null,CHF,null,Zuzwil,CH,Porsche,1985,47000,kilometer,924,,true,car,null,5,null
null,Other,null,CHF,null,Zuzwil,CH,Other,1999,146500,kilometer,3 SERIES, B8,true,car,null,1,null
null,Blue,null,CHF,null,Zuzwil,CH,Mercedes-Benz,2003,32500,kilometer,SL 600,,true,car,null,5,null
null,Other,null,CHF,null,Zuzwil,CH,Mitsubishi,2003,35200,kilometer,LANCER,Lancer Evo VII,true,car,null,7,null
null,Other,null,CHF,null,Zuzwil,CH,Mercedes-Benz,2000,14100,kilometer,S 320,,true,car,null,6,null
null,Other,null,CHF,null,Zuzwil,CH,Mercedes-Benz,2006,47000,kilometer,SL 55 AMG,,true,car,null,3,null
null,Other,null,CHF,null,Zuzwil,CH,Porsche,2014,450,kilometer,911, Turbo S Cabrio,true,car,null,5,null
null,Other,null,CHF,null,Zuzwil,CH,Mercedes-Benz,2000,99900,kilometer,S 500,,true,car,null,5,null
null,Other,null,CHF,null,Zuzwil,CH,Audi,2004,60000,kilometer,A8, 4.2 quattro,true,car,null,4,null
null,Other,null,CHF,null,Zuzwil,CH,Ferrari,1999,30300,kilometer,F360, Modena Berlinetta,true,car,null,8,null
null,Other,null,CHF,null,Zuzwil,CH,Bentley,1979,175100,kilometer,null,T 2,true,car,null,2,null
null,Other,null,CHF,null,Zuzwil,CH,Audi,1999,171700,kilometer,A6, Avant 2.7 T q.Ambiente,true,car,null,9,null
null,Other,null,CHF,null,Zuzwil,CH,Ferrari,2005,29300,kilometer,F430,,true,car,null,6,null
null,Brown,null,CHF,null,Zuzwil,CH,Maserati,2008,80000,kilometer,QUATTROPORTE,Quattroporte 4.2 Sport GT,true,car,null,4,null
null,Yellow,null,CHF,null,Zuzwil,CH,Bentley,2006,35000,kilometer,CONTINENTAL,Continental FlyingSpur6.0,true,car,null,3,null
null,Yellow,null,CHF,null,Zuzwil,CH,Rolls-Royce,1987,19720,kilometer,CORNICHE, Cabrio,true,car,null,6,null
null,Yellow,null,CHF,null,Zuzwil,CH,Other,2003,103000,kilometer,TACUMA,Tacuma 2000i CDX,true,car,null,10,null
null,Other,null,CHF,null,Zuzwil,CH,Renault,1971,19200,kilometer,Alpine A110, 1600S Gruppe 5 look,true,car,null,1,null
null,Yellow,null,CHF,null,Zuzwil,CH,Porsche,2011,28000,kilometer,911, Turbo S Cabrio PDK,true,car,null,4,null
