MakeText,BodyColorText,ModelTypeText,BodyTypeText,Ccm,City,Co2EmissionText,ConditionTypeText,ConsumptionRatingText,ConsumptionTotalText,Doors,DriveTypeText,FirstRegMonth,FirstRegYear,FuelTypeText,Hp,ID,InteriorColorText,Km,ModelText,Properties,Seats,TransmissionTypeText,TypeName,TypeNameFull
BMW,Black,i,Cabriolet,2979,Zuzwil,238 g/km,Occasion,G,9.9 l/100km,2,Hinterradantrieb,7,2007,Benzin,306,575.0,schwarz,77500,335,"""""""Ab MFK""""""",4,Schaltgetriebe manuell,335i,BMW 335i
Mercedes-Benz,Black,,Cabriolet,5439,Zuzwil,288 g/km,Occasion,G,12.0 l/100km,2,Hinterradantrieb,4,2005,Benzin,360,576.0,schwarz,42500,SLK 55 AMG,"""""""Ab MFK""""""",2,Automat sequentiell,SLK 55 AMG,MERCEDES-BENZ SLK 55 AMG
Porsche,Black,Cayenne Turbo,SUV / Geländewagen,4511,Zuzwil,378 g/km,Occasion,G,15.7 l/100km,5,Allrad,10,2005,Benzin,450,577.0,beige,64500,CAYENNE,"""""""Ab MFK""""""",5,Automat sequentiell,Cayenne Turbo,PORSCHE Cayenne Turbo
Audi,Black,S Cpé 2.0 TFSI quattro,Coupé,1984,Zuzwil,188 g/km,Occasion,G,7.9 l/100km,3,Allrad,8,2008,Benzin,272,579.0,schwarz,29300,TT,"""""""Ab MFK"""""," """"Tuning""""""",4,Automatisiertes Schaltgetriebe,TTS Cpé 2.0 TFSI quattro
Mercedes-Benz,Black,,Coupé,5786,Zuzwil,321 g/km,Occasion,G,13.4 l/100km,2,Hinterradantrieb,6,2000,Benzin,367,580.0,schwarz,103800,CL 600,"""""""Ab MFK""""""",4,Automat,CL 600,MERCEDES-BENZ CL 600
Renault,Black, 1400 Alpine Turbo,Kleinwagen,1397,Zuzwil,null,Occasion,null,null,3,Vorderradantrieb,12,1983,Benzin,108,581.0,braun,159700,R5,"""""""Ab MFK""""""",4,Schaltgetriebe manuell,R5 1400 Alpine Turbo,RENAULT R5 1400 Alpine Turbo
Mercedes-Benz,Black,,SUV / Geländewagen,4966,Zuzwil,350 g/km,Occasion,G,14.6 l/100km,5,Allrad,2,2002,Benzin,292,582.0,grau,118000,ML 500,"""""""Ab MFK""""""",5,Automat,ML 500,MERCEDES-BENZ ML 500
Ford,Black, RS 2600,Coupé,2632,Zuzwil,null,Occasion,null,null,3,Hinterradantrieb,3,1973,Benzin,150,583.0,schwarz,36100,CAPRI,null,4,Schaltgetriebe,RS 2600,FORD CAPRI RS 2600
Mercedes-Benz,Black, Avantgarde,Limousine,4973,Zuzwil,315 g/km,Occasion,null,13.5 l/100km,4,Hinterradantrieb,3,1997,Benzin,347,584.0,schwarz,70700,E 50 AMG,"""""""Ab MFK""""""",5,Automat,E 50 AMG Avantgarde,MERCEDES-BENZ E 50 AMG Avantgarde
Other,Black,B10 4.6 S.Tronic,Limousine,4619,Zuzwil,355 g/km,Occasion,G,14.9 l/100km,4,Hinterradantrieb,10,1998,Benzin,347,586.0,schwarz,94400,5 SERIES,"""""""Ab MFK""""""",5,Automat,B10 4.6 S.Tronic,BMW-ALPINA B10 4.6 S.Tronic
Mercedes-Benz,Black, Avantgarde,Limousine,5439,Zuzwil,301 g/km,Occasion,null,12.6 l/100km,4,Hinterradantrieb,2,1998,Benzin,354,588.0,schwarz,63400,E 55 AMG,"""""""Ab MFK""""""",5,Automat,E 55 AMG Avantgarde,MERCEDES-BENZ E 55 AMG Avantgarde
BMW,Black, Turbo,Limousine,1990,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,7,1974,Benzin,170,589.0,schwarz,134000,2002,"""""""Ab MFK""""""",4,Schaltgetriebe manuell,Turbo,BMW 2002 Turbo
BMW,Blue,i,Limousine,5379,Zuzwil,327 g/km,Occasion,null,14.2 l/100km,4,Hinterradantrieb,3,1998,Benzin,327,59.0,grau,60700,750,"""""""Ab MFK""""""",5,Automat sequentiell,750i,BMW 750i
Maserati,Black,Quattroporte 4.2 Sport GT,Limousine,4244,Zuzwil,370 g/km,Occasion,G,15.8 l/100km,4,Hinterradantrieb,10,2006,Benzin,400,590.0,schwarz,24300,QUATTROPORTE,"""""""Ab MFK""""""",5,Automatisiertes Schaltgetriebe,Quattroporte 4.2 Sport GT,MASERATI Quattroporte 4.2 Sport GT
Mercedes-Benz,Black, Avantgarde,Kombi,6208,Zuzwil,316 g/km,Occasion,G,13.6 l/100km,5,Hinterradantrieb,1,2009,Benzin,457,591.0,schwarz,57400,C 63 AMG,"""""""Ab MFK""""""",5,Automat sequentiell,C 63 AMG Avantgarde,MERCEDES-BENZ C 63 AMG Avantgarde
Bentley,Black,Brooklands,Limousine,6761,Zuzwil,null,Occasion,null,null,4,Hinterradantrieb,12,1995,Benzin,250,592.0,beige,124900,BROOKLANDS,"""""""Ab MFK""""""",5,Automat,Brooklands,BENTLEY Brooklands
Aston Martin,Black, 4.3,Coupé,4282,Zuzwil,358 g/km,Occasion,G,15.0 l/100km,2,Hinterradantrieb,2,2007,Benzin,385,595.0,schwarz,35500,V8 Vantage,"""""""Ab MFK""""""",2,Schaltgetriebe manuell,V8 Vantage 4.3,ASTON MARTIN V8 Vantage 4.3
Other,Black,B5 BiTurbo 4.4 V8,Limousine,4395,Zuzwil,252 g/km,Occasion,G,10.8 l/100km,4,Hinterradantrieb,6,2012,Benzin,507,596.0,schwarz,4950,5 SERIES,"""""""Ab MFK""""""",5,Automat sequentiell,B5 BiTurbo 4.4 V8,BMW-ALPINA B5 BiTurbo 4.4 V8
Porsche,Black,Cayenne Turbo,SUV / Geländewagen,4806,Zuzwil,270 g/km,Occasion,G,11.5 l/100km,5,Allrad,1,2011,Benzin,500,597.0,schwarz,39000,CAYENNE,"""""""Ab MFK""""""",5,Automat sequentiell,Cayenne Turbo,PORSCHE Cayenne Turbo
Jaguar,Black,R S/C,Coupé,3996,Zuzwil,340 g/km,Occasion,G,12.6 l/100km,2,Hinterradantrieb,5,1999,Benzin,363,598.0,weiss,89666,XK,"""""""Ab MFK""""""",4,Automat,XKR S/C,JAGUAR XKR S/C
Other,Other,Mustang Shelby GT500,Coupé,5409,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,3,2012,Benzin,557,6.0,schwarz,92000,MUSTANG,"""""""Ab MFK"""""," """"Direkt-/Parallelimport""""""",4,Schaltgetriebe,Shelby GT500
Mercedes-Benz,Black, Black Series,Coupé,5439,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,10,2006,Benzin,400,602.0,schwarz,25000,SLK 55 AMG,"""""""Ab MFK""""""",2,Automat sequentiell,Black Series,MERCEDES-BENZ SLK 55 AMG Black Series
Chevrolet,Black,Corvette 5.7 LT1 Convert.,Cabriolet,5730,Zuzwil,null,Occasion,null,13.1 l/100km,2,Hinterradantrieb,7,1994,Benzin,282,603.0,schwarz,68200,CORVETTE,"""""""Ab MFK""""""",2,Automat,Corvette 5.7 LT1 Convert.,CHEVROLET Corvette 5.7 LT1 Convert.
Mercedes-Benz,Black, SEL 3.5,Limousine,3459,Zuzwil,null,Occasion,null,13.0 l/100km,4,Hinterradantrieb,5,1971,Benzin,200,604.0,mehrfarbig,145100,300,"""""""Ab MFK""""""",5,Automatik-Getriebe,SEL 3.5,MERCEDES-BENZ 300 SEL 3.5
Porsche,Black, Carrera Cabrio,Cabriolet,3600,Zuzwil,null,Occasion,null,11.9 l/100km,2,Hinterradantrieb,8,1996,Benzin,285,609.0,grau,81900,911,"""""""Ab MFK""""""",4,Schaltgetriebe manuell,911 Carrera Cabrio,PORSCHE 911 Carrera Cabrio
Audi,Black, Avant quattro,Kombi,4172,Zuzwil,350 g/km,Occasion,G,14.6 l/100km,5,Allrad,2,2003,Benzin,450,610.0,schwarz,43800,RS6,"""""""Ab MFK""""""",5,Automat sequentiell,RS6 Avant quattro,AUDI RS6 Avant quattro
Lotus,Black,,Coupé,1470,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,3,1969,Benzin,0,611.0,schwarz,62200,EUROPA,"""""""Ab MFK""""""",2,Schaltgetriebe,null,LOTUS EUROPA
BMW,Black,,Limousine,4941,Zuzwil,336 g/km,Occasion,G,13.9 l/100km,4,Hinterradantrieb,1,2000,Benzin,400,613.0,schwarz,171000,M5,null,5,Schaltgetriebe manuell,M5,BMW M5
Mercedes-Benz,Black,,Cabriolet,5984,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,9,1992,Benzin,394,616.0,grau,52500,SL 600,"""""""Ab MFK""""""",2,Automat,SL 600,MERCEDES-BENZ SL 600
Opel,Black, 400 Breitbau,Coupé,2400,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,7,1982,Benzin,0,617.0,schwarz,60990,MANTA,"""""""Ab MFK""""""",4,Schaltgetriebe,400 Breitbau,OPEL MANTA 400 Breitbau
BMW,Black,i xDrive,Limousine,4395,Zuzwil,278 g/km,Occasion,G,11.9 l/100km,4,Allrad,10,2009,Benzin,408,618.0,mehrfarbig,45000,750,"""""""Ab MFK""""""",5,Automat,750i xDrive,BMW 750i xDrive
Opel,Black,Vectra 2.8 T V6 Cosmo,Limousine,2792,Zuzwil,247 g/km,Occasion,null,10.3 l/100km,4,Vorderradantrieb,5,2006,Benzin,230,620.0,schwarz,90600,VECTRA,"""""""Ab MFK""""""",5,Automatik-Getriebe,Vectra 2.8 T V6 Cosmo,OPEL Vectra 2.8 T V6 Cosmo
BMW,Black, 4.4i,SUV / Geländewagen,4398,Zuzwil,335 g/km,Occasion,G,13.9 l/100km,5,Allrad,6,2001,Benzin,286,621.0,schwarz,79900,X5,"""""""Ab MFK""""""",5,Automat sequentiell,X5 4.4i,BMW X5 4.4i
Mercedes-Benz,Black,500 SL,Cabriolet,4971,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,5,1985,Benzin,223,622.0,mehrfarbig,97000,SL-CLASS,"""""""Ab MFK""""""",2,Automat,500 SL,MERCEDES-BENZ 500 SL
Porsche,Black, Targa,Cabriolet,3600,Zuzwil,303 g/km,Occasion,null,12.8 l/100km,2,Hinterradantrieb,5,1997,Benzin,285,627.0,blau,74000,911,"""""""Ab MFK""""""",4,Schaltgetriebe manuell,911 Targa,PORSCHE 911 Targa
Nissan,Black,Murano 3.5 V6,SUV / Geländewagen,3498,Zuzwil,295 g/km,Occasion,G,12.3 l/100km,5,Allrad,10,2005,Benzin,235,628.0,beige,54500,MURANO,"""""""Ab MFK""""""",5,"Automat stufenlos, sequentiell",Murano 3.5 V6,NISSAN Murano 3.5 V6
Ferrari,Black, Berlinetta,Coupé,3496,Zuzwil,470 g/km,Occasion,null,20.8 l/100km,2,Hinterradantrieb,3,1998,Benzin,380,629.0,schwarz,32800,F355,"""""""Ab MFK""""""",2,Schaltgetriebe manuell,F355 Berlinetta,FERRARI F355 Berlinetta
Audi,Blue, Avant quattro,Kombi,4172,Zuzwil,350 g/km,Occasion,G,14.6 l/100km,5,Allrad,8,2002,Benzin,450,63.0,beige,75200,RS6,"""""""Ab MFK"""""," """"Tuning""""""",5,Automat sequentiell,RS6 Avant quattro
Toyota,Black,Celica 2800 i Supra,Coupé,2759,Zuzwil,null,Occasion,null,null,3,Hinterradantrieb,3,1983,Benzin,170,634.0,schwarz,54100,CELICA,"""""""Ab MFK""""""",5,Schaltgetriebe manuell,Celica 2800 i Supra,TOYOTA Celica 2800 i Supra
Audi,Black, Avant 3.0 V6 quattro,Kombi,2976,Zuzwil,271 g/km,Occasion,null,11.3 l/100km,5,Allrad,7,2004,Benzin,220,636.0,schwarz,66100,A4,null,5,Automatik-Getriebe,A4 Avant 3.0 V6 quattro,AUDI A4 Avant 3.0 V6 quattro
Mercedes-Benz,Black,,Cabriolet,5513,Zuzwil,346 g/km,Occasion,G,14.4 l/100km,2,Hinterradantrieb,4,2003,Benzin,500,639.0,null,70000,SL 600,"""""""Ab MFK""""""",2,Automat,SL 600,MERCEDES-BENZ SL 600
Hummer,Blue, 3.5 Luxury,SUV / Geländewagen,3462,Zuzwil,333 g/km,Occasion,G,13.9 l/100km,5,Allrad,1,2006,Benzin,223,64.0,mehrfarbig,127700,H3,"""""""Ab MFK""""""",5,Automat,H3 3.5 Luxury,HUMMER H3 3.5 Luxury
BMW,Black,i,Limousine,3980,Zuzwil,null,Occasion,null,null,4,Hinterradantrieb,7,1995,Benzin,286,642.0,blau,65400,740,"""""""Ab MFK""""""",5,Automat,740i,BMW 740i
BMW,Black,i,Limousine,3498,Zuzwil,null,Occasion,null,12.0 l/100km,4,Hinterradantrieb,6,1996,Benzin,235,645.0,grau,86100,535,"""""""Ab MFK""""""",5,Schaltgetriebe manuell,535i,BMW 535i
Mercedes-Benz,Black,,Cabriolet,4971,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,7,1990,Benzin,320,646.0,bordeaux,23800,SL 500,"""""""Ab MFK""""""",0,Automat,SL 500,MERCEDES-BENZ SL 500
Porsche,Black,Cayenne Turbo,SUV / Geländewagen,4511,Zuzwil,378 g/km,Occasion,G,15.7 l/100km,5,Allrad,11,2004,Benzin,450,647.0,schwarz,69500,CAYENNE,"""""""Ab MFK""""""",5,Automat,Cayenne Turbo,PORSCHE Cayenne Turbo
Mercedes-Benz,Blue,,Coupé,5513,Zuzwil,353 g/km,Occasion,G,14.7 l/100km,2,Hinterradantrieb,12,2003,Benzin,500,65.0,schwarz,29500,CL 600,"""""""Ab MFK""""""",4,Automat,CL 600,MERCEDES-BENZ CL 600
Audi,Black, Avant quattro,Kombi,4172,Zuzwil,350 g/km,Vorführmodell,G,14.6 l/100km,5,Allrad,12,2004,Benzin,450,650.0,schwarz,2300,RS6,"""""""Ab MFK""""""",5,Automat sequentiell,RS6 Avant quattro,AUDI RS6 Avant quattro
Mercedes-Benz,Black,,Cabriolet,5513,Zuzwil,326 g/km,Occasion,G,13.9 l/100km,2,Hinterradantrieb,1,2008,Benzin,517,651.0,beige,29100,SL 600,"""""""Ab MFK""""""",2,Automat sequentiell,SL 600,MERCEDES-BENZ SL 600
Porsche,Black, Carrera Cabrio,Cabriolet,3163,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,12,1984,Benzin,231,652.0,mehrfarbig,137700,911,"""""""Ab MFK""""""",4,Schaltgetriebe manuell,911 Carrera Cabrio,PORSCHE 911 Carrera Cabrio
Lamborghini,Black,Diablo 5.7 VT Roadster,Cabriolet,5707,Porrentruy,575 g/km,Occasion,null,24.9 l/100km,2,Allrad,5,1998,Benzin,530,653.0,rot,13960,DIABLO,"""""""Ab MFK""""""",2,Schaltgetriebe manuell,Diablo 5.7 VT Roadster,LAMBORGHINI Diablo 5.7 VT Roadster
Jeep,Black, 5.2 Ltd.,SUV / Geländewagen,5216,Zuzwil,380 g/km,Occasion,null,16.5 l/100km,5,Allrad,6,1997,Benzin,212,654.0,schwarz,61000,Grand Cherokee,"""""""Ab MFK""""""",5,Automat,Grand Cherokee 5.2 Ltd.,JEEP Grand Cherokee 5.2 Ltd.
Mercedes-Benz,Black, SLC,Limousine,4520,Zuzwil,null,Oldtimer,null,null,0,null,8,1973,null,0,656.0,beige,110200,450,"""""""Ab MFK""""""",0,null,SLC,MERCEDES-BENZ 450 SLC
Audi,Blue, Avant quattro,Kombi,4172,Zuzwil,350 g/km,Occasion,G,14.6 l/100km,5,Allrad,3,2003,Benzin,450,66.0,beige,88600,RS6,"""""""Ab MFK""""""",5,Automat sequentiell,RS6 Avant quattro,AUDI RS6 Avant quattro
Audi,Black, 4.2 quattro,Limousine,4172,Zuzwil,288 g/km,Occasion,G,12.0 l/100km,4,Allrad,12,2002,Benzin,335,660.0,null,44000,A8,"""""""Ab MFK""""""",5,Automat sequentiell,A8 4.2 quattro,AUDI A8 4.2 quattro
VW,Black,Phaeton 6.0 W12 4Motion,Limousine,5998,Zuzwil,374 g/km,Occasion,G,15.6 l/100km,4,Allrad,11,2002,Benzin,420,663.0,grau,175000,PHAETON,"""""""Ab MFK""""""",5,Automat sequentiell,Phaeton 6.0 W12 4Motion,VW Phaeton 6.0 W12 4Motion
Audi,Black, Coupé 4.2 FSI quattro,Coupé,4163,Zuzwil,298 g/km,Occasion,G,12.4 l/100km,2,Allrad,5,2008,Benzin,353,665.0,schwarz,67700,S5,"""""""Ab MFK""""""",4,Schaltgetriebe manuell,S5 Coupé 4.2 FSI quattro,AUDI S5 Coupé 4.2 FSI quattro
Lamborghini,Black,Aventador LP700-4 Rds,Cabriolet,6498,Porrentruy,370 g/km,Occasion,G,16.0 l/100km,2,Allrad,3,2014,Benzin,700,669.0,rot,1999,AVENTADOR,"""""""Ab MFK""""""",2,Automatisiertes Schaltgetriebe,Aventador LP700-4 Rds,LAMBORGHINI Aventador LP700-4 Rds
Porsche,Blue, Turbo,Coupé,1984,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,9,1981,Benzin,170,67.0,mehrfarbig,114000,924,"""""""Ab MFK""""""",4,Schaltgetriebe manuell,Turbo,PORSCHE 924 Turbo
McLaren,Black,MP4- 3.8 V8,Coupé,3798,Zuzwil,279 g/km,Neu,G,11.7 l/100km,2,Hinterradantrieb,6,2012,Benzin,625,672.0,schwarz,55,12C,"""""""Ab MFK""""""",2,Automatisiertes Schaltgetriebe,MP4-12C 3.8 V8,McLAREN MP4-12C 3.8 V8
Porsche,Black,Cayenne Turbo,SUV / Geländewagen,4806,Zuzwil,358 g/km,Occasion,G,14.9 l/100km,5,Allrad,4,2008,Benzin,500,673.0,schwarz,18200,CAYENNE,"""""""Ab MFK""""""",5,Automat,Cayenne Turbo,PORSCHE Cayenne Turbo
Land Rover,Black,Range Rover Sport 5.0 V8 SC,SUV / Geländewagen,4999,Zuzwil,348 g/km,Occasion,G,14.9 l/100km,5,Allrad,9,2010,Benzin,506,674.0,braun,15000,RANGE ROVER SPORT,"""""""Ab MFK""""""",5,Automat sequentiell,Range Rover Sport 5.0 V8 SC,LAND ROVER Range Rover Sport 5.0 V8 SC
Mercedes-Benz,Black,,Limousine,4966,Zuzwil,299 g/km,Occasion,G,12.5 l/100km,4,Hinterradantrieb,10,1999,Benzin,299,675.0,schwarz,51000,S 500,"""""""Ab MFK""""""",5,Automat,S 500,MERCEDES-BENZ S 500
Mercedes-Benz,Black,,Cabriolet,5439,Zuzwil,340 g/km,Occasion,G,14.2 l/100km,2,Hinterradantrieb,8,2002,Benzin,476,676.0,beige,34500,SL 55 AMG,"""""""Ab MFK""""""",2,Automat,SL 55 AMG,MERCEDES-BENZ SL 55 AMG
Mercedes-Benz,Black,611 DS,Sattelschlepper,3972,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,4,1996,Diesel,105,678.0,null,65400,600-SERIES,null,2,Schaltgetriebe,611 DS,MERCEDES-BENZ 611 DS
Lotus,Black,Esprit 3.5 V8 SE,Coupé,3506,Zuzwil,366 g/km,Neu,G,15.7 l/100km,2,Hinterradantrieb,6,2002,Benzin,354,683.0,null,150,ESPRIT,"""""""Ab MFK""""""",2,Schaltgetriebe manuell,Esprit 3.5 V8 SE,LOTUS Esprit 3.5 V8 SE
Renault,Black, Gordini,Limousine,1565,Zuzwil,null,Occasion,null,null,4,null,4,1972,Benzin,0,685.0,schwarz,14873,R12,"""""""Ab MFK""""""",0,null,Gordini,RENAULT R12 Gordini
Mercedes-Benz,Black, Kompressor,Cabriolet,1796,Zuzwil,218 g/km,Vorführmodell,null,9.1 l/100km,2,Hinterradantrieb,10,2007,Benzin,163,689.0,schwarz,300,SLK 200,null,2,Automatik-Getriebe,SLK 200 Kompressor,MERCEDES-BENZ SLK 200 Kompressor
Bentley,Blue,Arnage Green Label,Limousine,4398,Zuzwil,390 g/km,Occasion,G,19.9 l/100km,4,Hinterradantrieb,2,1999,Benzin,354,69.0,grau,44600,ARNAGE,"""""""Ab MFK""""""",5,Automat,Arnage Green Label,BENTLEY Arnage Green Label
Mercedes-Benz,Black,,Cabriolet,5461,Zuzwil,195 g/km,Occasion,G,8.4 l/100km,2,Hinterradantrieb,9,2012,Benzin,422,692.0,schwarz,19400,SLK 55 AMG,"""""""Ab MFK"""""," """"Direkt-/Parallelimport""""""",2,Automat sequentiell,SLK 55 AMG
Bentley,Black,Continental GT 6.0,Coupé,5998,Zuzwil,410 g/km,Occasion,G,17.1 l/100km,2,Allrad,1,2005,Benzin,560,693.0,beige,84000,CONTINENTAL,"""""""Ab MFK""""""",4,Automat,Continental GT 6.0,BENTLEY Continental GT 6.0
Mercedes-Benz,Black,,Cabriolet,5984,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,9,1992,Benzin,394,697.0,null,108100,SL 600,"""""""Ab MFK""""""",0,Automat,SL 600,MERCEDES-BENZ SL 600
Opel,Blue,Speedster 2.2 16V,Cabriolet,2198,Zuzwil,205 g/km,Occasion,G,8.5 l/100km,2,Hinterradantrieb,6,2004,Benzin,147,70.0,braun,9000,SPEEDSTER,"""""""Ab MFK""""""",2,Schaltgetriebe manuell,Speedster 2.2 16V,OPEL Speedster 2.2 16V
Mercedes-Benz,Black,,SUV / Geländewagen,4266,Zuzwil,345 g/km,Occasion,G,14.4 l/100km,5,Allrad,4,2001,Benzin,272,700.0,schwarz,16000,ML 430,"""""""Ab MFK""""""",5,Automat,ML 430,MERCEDES-BENZ ML 430
Mercedes-Benz,Black, 4Matic,SUV / Geländewagen,4966,Zuzwil,319 g/km,Neu,G,13.4 l/100km,5,Allrad,3,2007,Benzin,306,705.0,beige,1,ML 500,"""""""Ab MFK""""""",5,Automat sequentiell,ML 500 4Matic,MERCEDES-BENZ ML 500 4Matic
Mercedes-Benz,Black,,Coupé,5981,Zuzwil,357 g/km,Occasion,G,14.9 l/100km,2,Hinterradantrieb,2,2004,Benzin,612,708.0,schwarz,48300,CL 65 AMG,"""""""Ab MFK""""""",4,Automat sequentiell,CL 65 AMG,MERCEDES-BENZ CL 65 AMG
Mercedes-Benz,Blue, McLaren Coupé,Coupé,5439,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,1,2005,Benzin,626,71.0,rot,26400,SLR,"""""""Ab MFK""""""",2,Automatik-Getriebe,McLaren Coupé,MERCEDES-BENZ SLR McLaren Coupé
Porsche,Black, Turbo,Coupé,3598,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,4,1994,Benzin,490,710.0,schwarz,41700,911,"""""""Ab MFK""""""",4,Schaltgetriebe manuell,911 Turbo,PORSCHE 911 Turbo
Matra,Black,SIMCA Bagheera Serie II,Coupé,1442,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,2,1979,Benzin,90,717.0,mehrfarbig,52000,null,"""""""Ab MFK""""""",3,Schaltgetriebe,SIMCA Bagheera Serie II,MATRA SIMCA Bagheera Serie II
Porsche,Blue, Turbo,Coupé,3600,Zuzwil,309 g/km,Occasion,G,12.9 l/100km,2,Allrad,11,2001,Benzin,420,72.0,schwarz,62900,911,"""""""Ab MFK""""""",4,Schaltgetriebe manuell,911 Turbo,PORSCHE 911 Turbo
Porsche,Black, Turbo,Coupé,3600,Zuzwil,309 g/km,Occasion,G,12.9 l/100km,2,Allrad,1,2001,Benzin,420,721.0,schwarz,59500,911,"""""""Ab MFK""""""",4,Automatik-Getriebe,911 Turbo,PORSCHE 911 Turbo
Ferrari,Black, Challenge GT3 LOOK,Coupé,4300,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,6,2008,Benzin,489,723.0,schwarz,5000,F430,"""""""Rennwagen""""""",0,Automatik-Getriebe,Challenge GT3 LOOK,FERRARI F430 Challenge GT3 LOOK
BMW,Black,i,Limousine,4398,Zuzwil,329 g/km,Occasion,null,13.8 l/100km,4,Hinterradantrieb,12,1996,Benzin,286,724.0,schwarz,65000,740,"""""""Ab MFK""""""",5,Automat,740i,BMW 740i
BMW,Black,i Touring,Kombi,4799,Zuzwil,254 g/km,Occasion,G,10.7 l/100km,5,Hinterradantrieb,4,2007,Benzin,367,727.0,grau,72000,550,"""""""Ab MFK""""""",5,Automat sequentiell,550i Touring,BMW 550i Touring
Bentley,Black,Arnage Red Label,Limousine,6761,Zuzwil,456 g/km,Occasion,G,19.2 l/100km,4,Hinterradantrieb,7,2001,Benzin,405,728.0,null,21700,ARNAGE,"""""""Ab MFK""""""",5,Automat,Arnage Red Label,BENTLEY Arnage Red Label
Jeep,Black, 4.0 Ltd.,SUV / Geländewagen,3960,Zuzwil,null,Occasion,null,14.9 l/100km,5,Allrad,12,1996,Benzin,177,729.0,beige,126200,Grand Cherokee,"""""""Ab MFK""""""",5,Automat,Grand Cherokee 4.0 Ltd.,JEEP Grand Cherokee 4.0 Ltd.
Rolls-Royce,Black, III,Cabriolet,6749,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,6,1990,Benzin,218,730.0,beige,47100,CORNICHE,"""""""Ab MFK""""""",4,Automatik-Getriebe,III,ROLLS-ROYCE CORNICHE III
Mercedes-Benz,Black, AMG,Coupé,6208,Zuzwil,308 g/km,Occasion,G,13.2 l/100km,2,Hinterradantrieb,7,2011,Benzin,571,731.0,mehrfarbig,23000,SLS 63,"""""""Direkt-/Parallelimport""""""",2,Automat sequentiell,SLS 63 AMG,MERCEDES-BENZ SLS 63 AMG
Mercedes-Benz,Black,,Cabriolet,3199,Zuzwil,274 g/km,Occasion,G,11.5 l/100km,2,Hinterradantrieb,4,2000,Benzin,224,732.0,schwarz,8900,SL 320,"""""""Ab MFK""""""",2,Automat,SL 320,MERCEDES-BENZ SL 320
BMW,Black, 4.6is,SUV / Geländewagen,4619,Zuzwil,356 g/km,Occasion,G,14.9 l/100km,5,Allrad,6,2003,Benzin,347,735.0,schwarz,21800,X5,"""""""Ab MFK""""""",5,Automat sequentiell,X5 4.6is,BMW X5 4.6is
Fiat,Black, CSA,Coupé,0,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,7,1978,Benzin,128,737.0,schwarz,115100,SPIDER,null,2,Schaltgetriebe,CSA,FIAT SPIDER CSA
BMW,Black,,Limousine,4395,Zuzwil,232 g/km,Occasion,G,9.9 l/100km,4,Hinterradantrieb,1,2012,Benzin,560,738.0,schwarz,12000,M5,"""""""Ab MFK""""""",5,Automatisiertes Schaltgetriebe,M5,BMW M5
Bentley,Black,Continental GTC 6.0,Cabriolet,5998,Zuzwil,396 g/km,Occasion,G,16.6 l/100km,2,Allrad,6,2009,Benzin,560,739.0,schwarz,76200,CONTINENTAL,"""""""Ab MFK""""""",4,Automat,Continental GTC 6.0,BENTLEY Continental GTC 6.0
Mercedes-Benz,Black,,Limousine,5461,Zuzwil,244 g/km,Occasion,G,10.5 l/100km,4,Hinterradantrieb,6,2010,Benzin,544,741.0,schwarz,13200,S 63 AMG,"""""""Ab MFK""""""",5,Automat sequentiell,S 63 AMG,MERCEDES-BENZ S 63 AMG
Maserati,Black,GranTurismo S,Coupé,4691,Zuzwil,385 g/km,Occasion,G,16.4 l/100km,2,Hinterradantrieb,7,2009,Benzin,440,742.0,schwarz,45000,GRANTURISMO,"""""""Ab MFK""""""",4,Automatisiertes Schaltgetriebe,GranTurismo S,MASERATI GranTurismo S
Jaguar,Black,R S/C Convertible,Cabriolet,3996,Zuzwil,299 g/km,Occasion,G,12.5 l/100km,2,Hinterradantrieb,4,2000,Benzin,363,744.0,schwarz,107100,XK,"""""""Ab MFK""""""",4,Automat,XKR S/C Convertible,JAGUAR XKR S/C Convertible
Lamborghini,Black,Gallardo 5.0 V10 Coupé,Coupé,4961,Zuzwil,450 g/km,Occasion,G,19.5 l/100km,2,Allrad,7,2004,Benzin,500,745.0,null,36700,GALLARDO,"""""""Ab MFK""""""",2,Automatisiertes Schaltgetriebe,Gallardo 5.0 V10 Coupé,LAMBORGHINI Gallardo 5.0 V10 Coupé
