MakeText,BodyColorText,ModelTypeText,BodyTypeText,Ccm,City,Co2EmissionText,ConditionTypeText,ConsumptionRatingText,ConsumptionTotalText,Doors,DriveTypeText,FirstRegMonth,FirstRegYear,FuelTypeText,Hp,ID,InteriorColorText,Km,ModelText,Properties,Seats,TransmissionTypeText,TypeName,TypeNameFull
Aston Martin,Silver, Volante,Cabriolet,5935,Zuzwil,333 g/km,Occasion,G,14.3 l/100km,2,Hinterradantrieb,5,2013,Benzin,518,1036.0,schwarz,17000,DB9,"""""""Ab MFK""""""",4,Automat sequentiell,DB9 Volante,ASTON MARTIN DB9 Volante
Audi,Blue, Avant quattro,Kombi,2671,Zuzwil,288 g/km,Occasion,G,12.0 l/100km,5,Allrad,7,2001,Benzin,380,104.0,schwarz,57500,RS4,"""""""Ab MFK""""""",5,Schaltgetriebe manuell,RS4 Avant quattro,AUDI RS4 Avant quattro
Porsche,Silver, GT2,Coupé,3600,Zuzwil,309 g/km,Occasion,G,12.9 l/100km,2,Hinterradantrieb,11,2001,Benzin,462,1040.0,schwarz,49900,911,null,4,Schaltgetriebe manuell,911 GT2,PORSCHE 911 GT2
Toyota,Silver, 1600 GT DOHC,Coupé,1588,Zuzwil,null,Oldtimer,null,null,2,Hinterradantrieb,10,1981,Benzin,107,1042.0,beige,79300,CELICA,"""""""Ab MFK""""""",5,Schaltgetriebe,1600 GT DOHC,TOYOTA CELICA 1600 GT DOHC
Mercedes-Benz,Silver, E 2.5-16 ABS,Limousine,2497,Zuzwil,null,Occasion,null,null,4,Hinterradantrieb,4,1992,Benzin,195,1045.0,null,152000,190,"""""""Ab MFK""""""",5,Schaltgetriebe manuell,190 E 2.5-16 ABS,MERCEDES-BENZ 190 E 2.5-16 ABS
Porsche,Silver, Carrera S,Coupé,3824,Zuzwil,277 g/km,Occasion,G,11.5 l/100km,2,Hinterradantrieb,8,2005,Benzin,355,1047.0,schwarz,39400,911,"""""""Ab MFK""""""",4,Schaltgetriebe manuell,911 Carrera S,PORSCHE 911 Carrera S
BMW,Silver, 4.4i,SUV / Geländewagen,4398,Zuzwil,335 g/km,Occasion,G,13.9 l/100km,5,Allrad,3,2002,Benzin,286,1049.0,beige,60100,X5,"""""""Ab MFK""""""",5,Automat sequentiell,X5 4.4i,BMW X5 4.4i
Ford,Silver, RS 2000,Coupé,1993,Zuzwil,null,Occasion,null,null,3,Hinterradantrieb,3,1978,Benzin,110,1050.0,schwarz,96600,ESCORT,null,5,Schaltgetriebe,RS 2000,FORD ESCORT RS 2000
Porsche,Silver, Carrera 4S,Coupé,3824,Zuzwil,285 g/km,Occasion,G,11.8 l/100km,2,Allrad,2,2006,Benzin,355,1052.0,schwarz,101200,911,"""""""Ab MFK""""""",4,Schaltgetriebe manuell,911 Carrera 4S,PORSCHE 911 Carrera 4S
Toyota,Silver, FJ 40,SUV / Geländewagen,4228,Zuzwil,null,Occasion,null,null,3,Allrad,2,1982,Benzin,135,1053.0,grau,5000,LAND CRUISER,"""""""Ab MFK""""""",2,Schaltgetriebe manuell,FJ 40,TOYOTA LAND CRUISER FJ 40
