BodyColorText,BodyTypeText,Ccm,City,Co2EmissionText,ConditionTypeText,ConsumptionRatingText,ConsumptionTotalText,Doors,DriveTypeText,FirstRegMonth,FirstRegYear,FuelTypeText,Hp,ID,InteriorColorText,Km,MakeText,ModelText,ModelTypeText,Properties,Seats,TransmissionTypeText,TypeName,TypeNameFull
silber mét.,SUV / Geländewagen,4228,Zuzwil,null,Occasion,null,null,3,Allrad,2,1982,Benzin,135,1053.0,grau,5000,TOYOTA,LAND CRUISER,LAND CRUISER FJ 40,"""Ab MFK""",2,Schaltgetriebe manuell,FJ 40,TOYOTA LAND CRUISER FJ 40
silber mét.,Cabriolet,4973,Zuzwil,328 g/km,Occasion,null,14.3 l/100km,2,Hinterradantrieb,10,1996,Benzin,320,1054.0,schwarz,27600,MERCEDES-BENZ,SL 500,SL 500,"""Ab MFK""",0,Automat,SL 500,MERCEDES-BENZ SL 500
silber mét.,Coupé,3600,Zuzwil,309 g/km,Occasion,G,12.9 l/100km,2,Hinterradantrieb,9,2001,Benzin,462,1057.0,schwarz,53400,PORSCHE,911,911 GT2,"""Ab MFK""",4,Schaltgetriebe manuell,911 GT2,PORSCHE 911 GT2
silber mét.,Coupé,6192,Porrentruy,500 g/km,Occasion,G,21.5 l/100km,2,Allrad,2,2003,Benzin,580,1058.0,null,9000,LAMBORGHINI,MURCIÉLAGO,Murciélago 6.2 Coupé,"""Ab MFK""",2,Schaltgetriebe manuell,Murciélago 6.2 Coupé,LAMBORGHINI Murciélago 6.2 Coupé
blau mét.,Limousine,4172,Zuzwil,288 g/km,Occasion,G,12.0 l/100km,4,Allrad,11,2003,Benzin,335,106.0,schwarz,26300,AUDI,A8,A8 4.2 quattro,"""Ab MFK""",5,Automat sequentiell,A8 4.2 quattro,AUDI A8 4.2 quattro
silber mét.,Limousine,4172,Zuzwil,314 g/km,Occasion,G,13.1 l/100km,4,Allrad,10,1999,Benzin,310,1066.0,beige,101800,AUDI,A8,A8 4.2 quattro,"""Ab MFK""",5,Automat sequentiell,A8 4.2 quattro,AUDI A8 4.2 quattro
silber mét.,Coupé,1288,Zuzwil,null,Occasion,null,null,2,null,0,1973,Benzin,0,1067.0,schwarz,75700,RENAULT,Alpine A110,Alpine A110 1300,"""Ab MFK""",2,Schaltgetriebe,1300,RENAULT Alpine A110 1300
silber mét.,Limousine,4244,Zuzwil,370 g/km,Occasion,G,15.8 l/100km,4,Hinterradantrieb,10,2005,Benzin,400,1068.0,braun,33500,MASERATI,QUATTROPORTE,Quattroporte 4.2,"""Ab MFK""",5,Automatisiertes Schaltgetriebe,Quattroporte 4.2,MASERATI Quattroporte 4.2
violett mét.,Coupé,3442,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,7,1956,Benzin,256,1071.0,beige,5300,JAGUAR,null,D-Type XKD525,null,2,Schaltgetriebe,D-Type XKD525,JAGUAR D-Type XKD525
violett mét.,Coupé,5351,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,6,1967,Benzin,0,1072.0,schwarz,21300,CHEVROLET,CORVETTE,CORVETTE C2,"""Ab MFK""",2,Schaltgetriebe,C2,CHEVROLET CORVETTE C2
